region,date,rainfall_mm
Tigray,2026-06-05,0.0
Tigray,2026-06-10,0.0
Tigray,2026-06-15,0.0
Tigray,2026-06-20,0.1
Tigray,2026-06-25,0.4
Tigray,2026-06-30,0.5
Tigray,2026-07-05,0.0
Tigray,2026-07-10,9.3
Tigray,2026-07-15,0.9
Tigray,2026-07-20,13.0
Tigray,2026-07-25,60.7
Tigray,2026-07-30,24.8
Tigray,2026-07-31,2.3
Amhara,2026-06-05,3.1
Amhara,2026-06-10,0.7
Amhara,2026-06-15,6.4
Amhara,2026-06-20,8.3
Amhara,2026-06-25,27.1
Amhara,2026-06-30,7.6
Amhara,2026-07-05,7.8
Amhara,2026-07-10,29.7
Amhara,2026-07-15,17.0
Amhara,2026-07-20,23.0
Amhara,2026-07-25,72.1
Amhara,2026-07-30,41.9
Amhara,2026-07-31,5.7
Oromia,2026-06-05,3.1
Oromia,2026-06-10,0.4
Oromia,2026-06-15,0.1
Oromia,2026-06-20,3.1
Oromia,2026-06-25,7.1
Oromia,2026-06-30,1.7
Oromia,2026-07-05,1.9
Oromia,2026-07-10,9.9
Oromia,2026-07-15,3.1
Oromia,2026-07-20,13.2
Oromia,2026-07-25,12.3
Oromia,2026-07-30,15.2
Oromia,2026-07-31,0.1
SNNPR,2026-06-05,18.4
SNNPR,2026-06-10,5.5
SNNPR,2026-06-15,3.8
SNNPR,2026-06-20,12.8
SNNPR,2026-06-25,10.0
SNNPR,2026-06-30,22.0
SNNPR,2026-07-05,16.9
SNNPR,2026-07-10,5.9
SNNPR,2026-07-15,13.6
SNNPR,2026-07-20,24.1
SNNPR,2026-07-25,18.8
SNNPR,2026-07-30,35.0
SNNPR,2026-07-31,2.4
